scheduler,seed,cards,tasks,arrival_mode,bw_cap,card_cv,card_jfi,card_lif,max_min_ratio,avg_load_imbalance,completion_rate,throughput,throughput_excl_cold,mean_cold_start,p99_delay,avg_delay,p99_delay_excl_cold,avg_delay_excl_cold,avg_congestion_ratio,congested_card_tick_frac,mean_congestion_wait_ticks,p95_congestion_wait_ticks,avg_utilization,peak_backlog,time_card_cv_mean,time_card_cv_max,time_card_jfi_mean,time_card_lif_mean,time_card_lif_max,time_card_max_min_ratio_mean,time_card_load_variance_mean,completed_tasks,tail_count,tail_frac,max_delay,avg_delay_above_p99,max_delay_excl_cold,eff_tail_count,eff_tail_frac,eff_avg_delay_above_p99,fingerprint_set
rr,21,4,800,mixed,900000.0,0.44507848434217995,0.8253597136256823,1.5634759269604908,4.209977275351775,53618822756.710815,1.0,1.520912547528517,1.520912547528517,0.0,15.0,5.3,15.0,5.3,0.13496176346850905,0.34296482412060303,1.45625,3.0,0.6409598766006138,2784954.859375,0.5214438431498848,0.5399281189853917,0.7861611113374514,1.562278234012901,1.6226589405048168,67.50000164794926,90252206494.1096,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,42,4,800,mixed,900000.0,0.4614805729139851,0.8173433855639858,1.6035895098718518,4.381105659800174,50937432329.22407,1.0,1.5238095238095237,1.5238095238095237,0.0,15.0,5.28625,15.0,5.28625,0.12633258814121132,0.31738035264483627,1.47125,4.0,0.6193770210436509,2931108.890625,0.5411802630789523,0.5602149810494378,0.773455222840914,1.6154397114937604,1.6635269141889784,53.23285028206872,90988889311.9878,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,99,4,800,mixed,900000.0,0.4145823225195111,0.8411323983259414,1.5226625120664565,4.176428996003396,49820524090.57252,1.0,1.5625,1.5625,0.0,15.0,5.295,15.0,5.295,0.1515205711104459,0.3776041666666667,1.6,4.0,0.6770689209457679,3023777.828125,0.479933351380653,0.4970925201079355,0.812750794321309,1.4771284367757174,1.4958098695516338,57.22204976111931,85506182121.82236,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,123,4,800,mixed,900000.0,0.434713733804512,0.8305952551363163,1.5603724289535734,4.001689051687042,49935113055.719986,1.0,1.5625,1.5625,0.0,15.0,5.3,15.0,5.3,0.14063686065898975,0.3450520833333333,1.5425,4.0,0.6506864593138518,2964341.5,0.5072685795239547,0.5322612798883849,0.7952811776665158,1.5390642565073036,1.6348591886664987,67.50000164794926,88074089944.92612,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,2024,4,800,mixed,900000.0,0.454455225054428,0.821796860761278,1.5874876681512375,4.624150542530081,51143458703.519905,1.0,1.5296367112810707,1.5296367112810707,0.0,15.0,5.29625,15.0,5.29625,0.1396379884445811,0.3487341772151899,1.5775,4.0,0.6360688854461971,2751108.90625,0.5366905877705986,0.5497644110404403,0.7763665534220511,1.5722110847662047,1.5864674569138961,67.50000164794926,94407864453.0374,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,21,4,800,poisson,900000.0,0.3671497636020786,0.8696824928711759,1.482275202699412,4.468228040657408,43728461811.4091,1.0,1.5238095238095237,1.5238095238095237,0.0,15.0,5.32125,15.0,5.32125,0.11213760655282284,0.2972292191435768,1.11375,3.0,0.6500052610056654,2622455.859375,0.45292038794496386,0.48804533594021193,0.8296847411442445,1.5385787401588704,1.559640275845365,67.50000164794926,70273249584.60428,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,42,4,800,poisson,900000.0,0.3749157905044035,0.8664093370435784,1.491135586993446,3.6073455765208493,45580190004.38509,1.0,1.5296367112810707,1.5296367112810707,0.0,15.0,5.31,15.0,5.31,0.1132521105441678,0.30443037974683546,1.10875,3.0,0.6563681950796907,2479853.875,0.4425572608615271,0.475352782995404,0.835991683214251,1.52498954506813,1.5799781162950302,42.89800359814672,68587409595.37799,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,99,4,800,poisson,900000.0,0.3641693860643957,0.8716621709946998,1.4744608918162179,5.145157600037309,44025247006.35109,1.0,1.5325670498084292,1.5325670498084292,0.0,15.0,5.32,15.0,5.32,0.10847841943377348,0.2868020304568528,1.0075,3.0,0.6560099616604207,2464472.984375,0.4353755645870425,0.503837091769818,0.8401357893463418,1.5254145163392392,1.573282712322544,67.50000164794926,66795230747.75511,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,123,4,800,poisson,900000.0,0.35913832837555826,0.8755566747532635,1.477449473915253,3.670234370301384,42899725510.68451,1.0,1.5267175572519085,1.5267175572519085,0.0,15.0,5.30625,15.0,5.30625,0.10711645458166602,0.28535353535353536,1.025,3.0,0.6524286119598491,2536177.859375,0.42841865490827025,0.4576424815909312,0.8446567228830212,1.5340713681029112,1.6065999926504306,41.06709860763907,64159151071.52219,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,2024,4,800,poisson,900000.0,0.38417666584228966,0.8605589889185561,1.5183247806682023,4.783952367827507,45082399905.51271,1.0,1.5267175572519085,1.5267175572519085,0.0,15.0,5.31,15.0,5.31,0.10559807733872384,0.2847222222222222,1.04125,3.0,0.6377044579393106,2402798.5625,0.45904181677794487,0.5208740287732656,0.825328506558715,1.5703828944252627,1.6315740848893694,67.50000164794926,69414921447.6427,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
