scheduler,seed,tasks,arrival_mode,card_cv,card_jfi,max_min_ratio,avg_load_imbalance,completion_rate,throughput,flat_pct,bursty_pct
bestfit,21,800,poisson,0.8513241519018646,0.5970965273115281,26.02166086919946,71004968828.53989,1.0,1.556420233463035,50,50
bestfit,42,800,poisson,0.8285906630224613,0.607421548833164,25.648706712313647,67231191449.424934,1.0,1.5594541910331383,50,50
bestfit,99,800,poisson,0.8386601886148888,0.6022652535276165,25.113133512725685,73793799612.9845,1.0,1.5533980582524272,50,50
bestfit,123,800,poisson,0.8401203914475179,0.601680212400095,22.949804688460468,71743528158.80794,1.0,1.556420233463035,50,50
bestfit,2024,800,poisson,0.8612297477621731,0.5909244572137967,27.46999594086251,74200611871.24893,1.0,1.5533980582524272,50,50
bestfit,21,800,poisson,1.0292588313265247,0.5101316532567011,35.3098770384558,94461559473.16136,1.0,1.556420233463035,25,75
bestfit,42,800,poisson,1.0001942512752384,0.5223995817213458,33.67866687923412,89437724600.0499,1.0,1.5594541910331383,25,75
bestfit,99,800,poisson,1.0234518133634762,0.5119244546455437,34.449533324487454,96168476142.50179,1.0,1.5533980582524272,25,75
bestfit,123,800,poisson,1.027902018890328,0.5091974487024759,32.99682091112765,93193201428.31584,1.0,1.556420233463035,25,75
bestfit,2024,800,poisson,1.0382998960607246,0.5055347337191043,34.58194842958547,95349802945.15083,1.0,1.5533980582524272,25,75
bestfit,21,800,poisson,1.0176592466495333,0.5332412243690545,39.01373544603986,121552269859.20906,1.0,1.556420233463035,0,100
bestfit,42,800,poisson,0.9534142950972212,0.5614703524359439,37.722306475998515,112831189155.6605,1.0,1.5594541910331383,0,100
bestfit,99,800,poisson,1.0168956578111736,0.5323357958810416,39.095301073285015,118453117661.17915,1.0,1.5533980582524272,0,100
bestfit,123,800,poisson,0.9989818890182464,0.5423979706425726,38.33132306884068,112988326921.05107,1.0,1.556420233463035,0,100
bestfit,2024,800,poisson,1.048962687581884,0.5203920012125214,41.46127858163224,123748522196.12682,1.0,1.5533980582524272,0,100
drf,21,800,poisson,0.3286473882594137,0.8820004898411409,1.6402905390534366,8424188358.69106,1.0,1.556420233463035,100,0
drf,42,800,poisson,0.3022026897816112,0.8941033191744091,1.6627192132259991,8552760515.135166,1.0,1.5594541910331383,100,0
drf,99,800,poisson,0.31071165073032686,0.8897927796785811,1.663004408834836,8466911074.454761,1.0,1.5533980582524272,100,0
drf,123,800,poisson,0.3313767513338661,0.8823551131948731,1.682300625520943,8302852447.954699,1.0,1.556420233463035,100,0
drf,2024,800,poisson,0.3377990189396265,0.8798238272072082,1.714254115576923,8182663528.8944845,1.0,1.5533980582524272,100,0
drf,21,800,poisson,0.6145778059185009,0.7320069941021473,10.934784886753492,38530625141.75837,1.0,1.556420233463035,75,25
drf,42,800,poisson,0.5891200774992318,0.7430255708411314,11.104326848037223,38431835453.43244,1.0,1.5594541910331383,75,25
drf,99,800,poisson,0.5966793892642615,0.740161379648424,10.93093938125301,40661342364.32897,1.0,1.5533980582524272,75,25
drf,123,800,poisson,0.5923848788096225,0.7414638349478033,9.928183091085385,38621364984.5832,1.0,1.556420233463035,75,25
drf,2024,800,poisson,0.6089678579444244,0.7348011487620243,11.031606545078398,39098359644.949005,1.0,1.5533980582524272,75,25
drf,21,800,poisson,0.8513241519018646,0.5970965273115281,26.02166086919946,71004968828.53989,1.0,1.556420233463035,50,50
drf,42,800,poisson,0.8285906630224613,0.607421548833164,25.648706712313647,67231191449.424934,1.0,1.5594541910331383,50,50
drf,99,800,poisson,0.8386601886148888,0.6022652535276165,25.113133512725685,73793799612.9845,1.0,1.5533980582524272,50,50
