scheduler,seed,tasks,arrival_mode,card_cv,card_jfi,max_min_ratio,avg_load_imbalance,completion_rate,throughput,utilization
p2c,123,1020,poisson,0.6708077437755388,0.6935026534310571,9.92849913489453,483270903312.3004,1.0,1.9465648854961832,0.85
p2c,2024,1020,poisson,0.6767527833784382,0.6895721717250453,9.30857446052287,500976694550.5394,1.0,1.9502868068833652,0.85
p2c,21,1100,poisson,0.5979143229401204,0.7373474274921463,8.023683009308458,445746844171.90594,1.0,2.0952380952380953,0.95
p2c,42,1100,poisson,0.6053137891494045,0.7321890424472002,10.786690640350162,459428426497.37274,1.0,2.099236641221374,0.95
p2c,99,1100,poisson,0.6035363423020444,0.7332312238740244,9.66954862859148,457764289583.9689,1.0,2.0872865275142316,0.95
p2c,123,1100,poisson,0.6139728067533272,0.7272353097134059,10.247884506817805,475268872751.56146,1.0,2.091254752851711,0.95
p2c,2024,1100,poisson,0.6107181060278407,0.7291155861560356,8.454383224830806,457813231304.7056,1.0,2.0952380952380953,0.95
stps-spatial,21,320,poisson,0.9585964824165559,0.5507657329309504,13.726009406103907,201674319548.89297,1.0,0.622568093385214,0.3
stps-spatial,42,320,poisson,0.9615152975864414,0.5469167983966142,12.842460430948533,207164842720.20575,1.0,0.622568093385214,0.3
stps-spatial,99,320,poisson,0.9229027378349487,0.5669873922362813,16.083042789454904,202536393176.1291,1.0,0.625,0.3
stps-spatial,123,320,poisson,0.9335391398288291,0.5650685342944649,15.12466294656123,200249751608.94992,1.0,0.622568093385214,0.3
stps-spatial,2024,320,poisson,0.949379290638886,0.557293652347517,15.352289001501902,198266015035.67258,1.0,0.6153846153846154,0.3
stps-spatial,21,560,poisson,0.7840280819991484,0.631425786921427,13.099124663119412,303320135684.1284,1.0,1.0666666666666667,0.5
stps-spatial,42,560,poisson,0.7635333072001623,0.6424443434732011,12.803223685236146,296739391603.348,1.0,1.0707456978967496,0.5
stps-spatial,99,560,poisson,0.7794148905876364,0.6308779577514353,12.553199940111101,299678182418.0496,1.0,1.0626185958254268,0.5
stps-spatial,123,560,poisson,0.7601526084570239,0.642926363103781,12.487552383957587,296771198639.05664,1.0,1.0666666666666667,0.5
stps-spatial,2024,560,poisson,0.7899992996555429,0.625570944850066,15.80562634762096,313564791345.16675,1.0,1.0687022900763359,0.5
stps-spatial,21,800,poisson,0.67980286115401,0.687668937580804,7.281336199936453,371924312534.34467,1.0,1.5238095238095237,0.7
stps-spatial,42,800,poisson,0.6896135233627078,0.6812446815660119,7.354777250282254,369520268709.47485,1.0,1.5296367112810707,0.7
stps-spatial,99,800,poisson,0.6827973265961041,0.6853319962639569,9.105218822535198,365249291913.2197,1.0,1.5325670498084292,0.7
stps-spatial,123,800,poisson,0.6914743153436627,0.6802738957660601,8.066899450348409,381421742456.68146,1.0,1.5267175572519085,0.7
stps-spatial,2024,800,poisson,0.7071043562970006,0.6711141277628866,9.69281534737741,395019804836.29315,1.0,1.5267175572519085,0.7
stps-spatial,21,1020,poisson,0.5843660482019644,0.7452246139389733,6.578652793016059,384972371056.70337,1.0,1.9540229885057472,0.85
stps-spatial,42,1020,poisson,0.5878481760999809,0.7427914970858636,6.3041478197043075,393591919444.9413,1.0,1.9540229885057472,0.85
stps-spatial,99,1020,poisson,0.5700922430980874,0.7541357930549957,7.261124904909853,381816595886.1348,1.0,1.9577735124760076,0.85
stps-spatial,123,1020,poisson,0.5995080563370431,0.7361042467111836,7.0246326535904515,394439164534.769,1.0,1.9465648854961832,0.85
stps-spatial,2024,1020,poisson,0.5845338123603222,0.7449997167684485,5.534200255279824,371515961688.14844,1.0,1.9502868068833652,0.85
stps-spatial,21,1100,poisson,0.5446326331225094,0.7691474313218372,5.552306002503637,373857919452.5625,1.0,2.0952380952380953,0.95
stps-spatial,42,1100,poisson,0.5454117538292078,0.7685771469175525,5.171601951809227,372806179350.9873,1.0,2.099236641221374,0.95
stps-spatial,99,1100,poisson,0.55259826869192,0.7647427591108671,4.76987628904077,395645725606.4061,1.0,2.0872865275142316,0.95
stps-spatial,123,1100,poisson,0.5522126588387644,0.7646675863053528,5.603215786849074,378581163940.4638,1.0,2.091254752851711,0.95
stps-spatial,2024,1100,poisson,0.569880494765542,0.7538590496593488,5.478410618677757,393073150015.0674,1.0,2.0952380952380953,0.95
