cards,arrival_mode,base_algo,phase_enabled,scheduler,card_id,kind,n,mean_load_mean,mean_load_ci95,max_load_mean,max_load_ci95,std_load_mean,std_load_ci95,time_cv_mean,time_cv_ci95,time_lif_mean,time_lif_ci95,time_jfi_mean,time_jfi_ci95,mean_cong_ratio_mean,mean_cong_ratio_ci95,max_cong_ratio_mean,max_cong_ratio_ci95,completed_tasks_mean,completed_tasks_ci95,throughput_mean,throughput_ci95
4,poisson,RR,False,rr,2,demand,5,595656.2907145706,23498.093321844783,2597752.675,98556.8452961086,653289.3201103343,32902.852856300146,1.0972762977992803,0.04761592551784708,4.365025629547488,0.16909936244027676,0.45429238910886455,0.021473333378094983,0.1508245784566515,0.021727130401091487,0.7476187775978551,0.01654252769652,198.6,3.1966632603388176,0.5020176672981499,0.00769315985583268
4,poisson,RR,False,rr,3,demand,5,576455.9509726947,19423.487072361706,2530895.496875,1119.993,627203.1844644349,26845.293237746642,1.0879146026969602,0.023199388030023138,4.395534790696761,0.1452125778618271,0.4581050439070534,0.010502272723995997,0.13253467674167912,0.01310460709209519,0.7363390654429668,0.026604028458968212,198.0,7.281076843434629,0.5005164709285346,0.018607651245161515
4,poisson,STPS-spatial,True,stps,0,served,5,608808.3968229803,10296.24227780665,900000.0,0.0,255931.4391181481,14581.491901296651,0.42059873403807113,0.026561863413708014,1.4787400382722482,0.025127264571026833,0.8494887496724083,0.01628496313563576,0.09970025931905688,0.019403751061750164,0.7086736636834754,0.027149451886485623,204.2,10.05921189755937,0.5143400867488288,0.024936505474887186
4,poisson,STPS-spatial,True,stps,1,served,5,593152.9708514411,16324.794545426517,900000.0,0.0,279791.6069704924,8255.238487762197,0.4722484807767789,0.02281385051478512,1.5185161500057647,0.04191386973351229,0.8175517375668875,0.014401260601619408,0.11093373151496705,0.015418057467439033,0.6978042667799789,0.012973117361952197,191.0,4.596607444626961,0.4811183327920411,0.011899000046812724
4,poisson,STPS-spatial,True,stps,2,served,5,602661.3745498747,5020.118654847966,900000.0,0.0,271234.6053125805,17908.39422260991,0.4502949299582683,0.0326463444522535,1.4934834827222303,0.012399021855686497,0.8311624971361854,0.020248513457631803,0.10390658978564565,0.021652063922466006,0.6924508981719869,0.017889662387681155,201.4,8.306331079363499,0.5073085928318377,0.020946216498920735
4,poisson,STPS-spatial,True,stps,3,served,5,589485.3968253839,16015.049265336047,900000.0,0.0,267475.031986414,12673.029635694646,0.4541139638052209,0.02517895559612113,1.5279741562740219,0.043088661929925144,0.8288895248115111,0.015657852027350698,0.08389994873287383,0.01437675200450163,0.6974507117915982,0.033439971254984144,203.4,8.556920941553685,0.5123617193194234,0.021919446665214448
4,poisson,STPS-spatial,True,stps,0,demand,5,607680.9806555562,9917.621011644103,2433269.5125,196502.20710841828,541253.5010769188,50077.52603132898,0.8905448993519562,0.08005217917832087,4.004708886728763,0.3211804110286132,0.55930631008166,0.04331469564581694,0.09970025931905688,0.019403751061750164,0.7086736636834754,0.027149451886485623,204.2,10.05921189755937,0.5143400867488288,0.024936505474887186
4,poisson,STPS-spatial,True,stps,1,demand,5,593014.0647403661,15302.955920524602,2422364.7125,122945.8943127041,583855.6755609799,38515.38096070741,0.9839433362230274,0.05034066557903512,4.0869292677489515,0.2181842802779107,0.5087482837398594,0.02619522671391725,0.11093373151496705,0.015418057467439033,0.6978042667799789,0.012973117361952197,191.0,4.596607444626961,0.4811183327920411,0.011899000046812724
4,poisson,STPS-spatial,True,stps,2,demand,5,603162.5046531195,4798.151857483272,2351210.515625,91240.01518671513,557295.9059598041,63802.14222166492,0.9246212980561709,0.11110132821015911,3.899088526912516,0.1718480387924393,0.5421946279527362,0.0603467329395111,0.10390658978564565,0.021652063922466006,0.6924508981719869,0.017889662387681155,201.4,8.306331079363499,0.5073085928318377,0.020946216498920735
4,poisson,STPS-spatial,True,stps,3,demand,5,589119.1994457714,16152.408459991346,2400550.9759765626,183833.00374628894,504276.7798436273,40199.77340194024,0.856753493877544,0.07336327276518238,4.079442320908726,0.34825123893208265,0.5779368988536674,0.042614166142615324,0.08389994873287383,0.01437675200450163,0.6974507117915982,0.033439971254984144,203.4,8.556920941553685,0.5123617193194234,0.021919446665214448
