scheduler,seed,cards,tasks,arrival_mode,base_algo,phase_enabled,pair_base_scheduler,pair_phase_scheduler,bw_max,d_max,card_cv,median_card_cv,p95_card_cv,std_card_cv,card_jfi,card_lif,max_min_ratio,completion_rate,throughput,throughput_excl_cold,mean_cold_start,p99_delay,p99_delay_excl_cold,avg_delay,avg_delay_excl_cold,mean_start_offset,p95_start_offset,reject_rate_bw,avg_congestion_ratio,mean_congestion_wait_ticks,time_card_cv_demand_mean,time_card_lif_demand_mean,time_card_lif_served_mean
drf-phase,123,16,1600,poisson,DRF,True,drf,drf-phase,900000.0,16,0.5473434633692486,0.5496175852116202,0.7728358841610217,0.14397739003920831,0.768125704172897,2.516824073400155,24.960913097509994,0.856875,2.611428571428571,2.6201578807238035,1.7490882567469002,21.0,15.0,7.4099197665937275,5.660831509846827,1.7490882567469002,9.0,0.143125,0.0,0.0,0.5990828588688333,3.5145039449226303,3.5145039449226303
bestfit,123,16,1600,poisson,BestFit,False,bestfit,bestfit-phase,900000.0,16,0.7936597520454084,0.7857366591157249,1.0234753420552856,0.1327521871324615,0.6168634556856127,2.957332657280573,41.59880104673087,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.03757209794067873,0.613125,1.3194355398319348,6.936906598077103,2.9650234165759475
rr,123,16,1600,poisson,RR,False,rr,rr-phase,900000.0,16,0.8689116834444296,0.8548862770423659,1.1230789309041942,0.13787559146513356,0.5741740983260405,2.961752616306273,59.13832929185786,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.048216311363304266,0.74375,1.462710839278046,7.3208899746082015,2.912318348269009
drf,21,16,1600,poisson,DRF,False,drf,drf-phase,900000.0,16,0.7931111338509763,0.7813107300411775,1.0730297479006472,0.14931981168891814,0.6183378849958542,2.948587950073906,41.505813852293954,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.03856817026463394,0.61375,1.3141538280974208,6.896377578712027,2.915342124859947
drf,42,16,1600,poisson,DRF,False,drf,drf-phase,900000.0,16,0.7892371553522669,0.7802675651368884,1.0387707125411147,0.14096961501409422,0.6199217673250252,2.9336499497064996,41.070073533256625,1.0,3.053435114503817,3.053435114503817,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.037193400134772014,0.595,1.3051416143133117,6.820514406115317,2.910926060267907
bestfit,21,16,1600,poisson,BestFit,False,bestfit,bestfit-phase,900000.0,16,0.7931111338509763,0.7813107300411775,1.0730297479006472,0.14931981168891814,0.6183378849958542,2.948587950073906,41.505813852293954,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.03856817026463394,0.61375,1.3141538280974208,6.896377578712027,2.915342124859947
bestfit,42,16,1600,poisson,BestFit,False,bestfit,bestfit-phase,900000.0,16,0.7892371553522669,0.7802675651368884,1.0387707125411147,0.14096961501409422,0.6199217673250252,2.9336499497064996,41.070073533256625,1.0,3.053435114503817,3.053435114503817,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.037193400134772014,0.595,1.3051416143133117,6.820514406115317,2.910926060267907
bestfit-phase,2024,16,1600,poisson,BestFit,True,bestfit,bestfit-phase,900000.0,16,0.5641889773468711,0.5791165423692858,0.7985077170107556,0.14631202357905562,0.7576003311316991,2.5495049762957747,26.90061569979405,0.856875,2.586792452830189,2.5962788770330465,1.9365426695842451,22.0,15.0,7.597374179431072,5.660831509846827,1.9365426695842451,9.0,0.143125,0.0,0.0,0.6144287881028279,3.527348718559079,3.527348718559079
rr-phase,2024,16,1600,bursty,RR,True,rr,rr-phase,900000.0,16,0.7394775575025291,0.6964493736660178,1.3207907771337832,0.29667146910370384,0.6605482170343705,2.7466004333657024,20.532535353869793,0.8525,2.6030534351145036,2.6213472950962875,3.656891495601173,26.0,15.0,9.27859237536657,5.621700879765396,3.656891495601173,12.0,0.1475,0.0,0.0,0.8131315900651874,3.5843990019488836,3.5843990019488836
p2c,21,16,1600,poisson,P2C,False,p2c,p2c-phase,900000.0,16,0.9950735499028592,0.9802682735475796,1.3096820884035127,0.17567864359079752,0.5098689618770568,3.048847301637452,24.48787173492338,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.049971577015324224,0.956875,1.5726208485872335,8.767759909695943,2.970199750675719
rr,123,16,1600,bursty,RR,False,rr,rr-phase,900000.0,16,0.9260888534891337,0.8955416119722173,1.4797659802671035,0.3108277256287199,0.5581928693833692,3.199647063356873,39.97937602284657,1.0,3.0360531309297913,3.0360531309297913,0.0,15.0,15.0,5.29125,5.29125,0.0,0.0,0.0,0.04922967630803257,0.88625,1.527931051459878,7.767069806943604,2.9511693882611043
p2c,42,16,1600,poisson,P2C,False,p2c,p2c-phase,900000.0,16,0.9935045240509609,0.9839208654127873,1.2892793308332378,0.167109787489372,0.50998313016927,3.0473632607865926,26.21178729303329,1.0,3.053435114503817,3.053435114503817,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.04895060173511421,0.93875,1.5581621971427726,8.543118162067467,2.94895006676854
p2c-phase,2024,16,1600,poisson,P2C,True,p2c,p2c-phase,900000.0,16,0.7738754953424557,0.7726382583594078,0.9849134613914419,0.13039997968444567,0.6286168190761928,2.7572917791960765,20.574427595632653,0.840625,2.5570342205323193,2.579074853441,4.495167286245353,29.0,15.0,10.207434944237919,5.712267657992565,4.495167286245353,14.0,0.159375,0.0,0.0,0.8048562840056874,3.5958707418524236,3.5958707418524236
